Price,Use,Transmission,Body,Fuel,Year,Mileage (km),Drivetrain,Horse Power,Engine Size (l),Make,Model,Source,Horsepower
600000.0,Foreign Used,Manual,,Petrol,2020,,,,2.5,Toyota,Hilux,Tonaton,102.0
94999.0,Foreign Used,Automatic,,Petrol,2017,82000.0,,,1.2,Mitsubishi,Mirage,Tonaton,78.0
100000.0,Foreign Used,Automatic,,Petrol,2012,50000.0,,,,Samsung,SM7,Tonaton,
650000.0,Foreign Used,Automatic,Coupe,Petrol,2019,19604.0,All-Wheel Drive,362.0,3.0,Mercedes-Benz,E450,Tonaton,362.0
110000.0,Foreign Used,Automatic,,Petrol,2017,43321.0,,,,Mazda,3,Tonaton,
58000.0,Ghanaian Used,Automatic,SUV,Petrol,2007,110885.0,,,4.7,Toyota,Sequoia,Tonaton,381.0
160000.0,Ghanaian Used,Manual,,Petrol,2009,,,,4.5,Toyota,Land Cruiser,Tonaton,271.0
69500.0,Ghanaian Used,Automatic,,Petrol,2007,,,,,Land Rover,Range Rover,Tonaton,
54000.0,Ghanaian Used,Automatic,SUV,Petrol,2008,,Front-Wheel Drive,153.0,2.3,Ford,Escape,Tonaton,153.0
450000.0,Foreign Used,Automatic,SUV,Petrol,2017,64451.0,All-Wheel Drive,380.0,3.0,Land Rover,Range Rover Sport,Tonaton,380.0
958000.0,Foreign Used,Automatic,,Petrol,2021,,,,3.5,Mercedes-Benz,E350,Tonaton,302.0
300000.0,Foreign Used,Automatic,,Petrol,2017,34474.0,,,,Lexus,RX 350,Tonaton,
168500.0,Ghanaian Used,Automatic,,Petrol,2013,109423.0,,362.0,4.7,Mercedes-Benz,GL-Class,Tonaton,362.0
100000.0,Ghanaian Used,Automatic,SUV,Petrol,2014,,All-Wheel Drive,290.0,3.3,Hyundai,Santa Fe,Tonaton,290.0
550000.0,Foreign Used,Automatic,Sedan,Petrol,2016,,All-Wheel Drive,404.0,3.0,Maserati,Ghibli,Tonaton,404.0
62000.0,Ghanaian Used,Automatic,,Petrol,2009,60000.0,,,,Infiniti,G,Tonaton,
120000.0,Ghanaian Used,Automatic,SUV,Petrol,2010,75841.0,All-Wheel Drive,305.0,4.6,Lexus,GX,Tonaton,305.0
260000.0,Foreign Used,Automatic,,Petrol,2016,56382.0,,,2.0,Land Rover,Range Rover Evoque,Tonaton,
150000.0,Ghanaian Used,Automatic,SUV,Petrol,2012,,All-Wheel Drive,335.0,4.7,Mercedes-Benz,GL-Class,Tonaton,335.0
130000.0,Ghanaian Used,Automatic,Sedan,Diesel,2012,,Rear-Wheel Drive,210.0,3.0,Mercedes-Benz,E350,Tonaton,210.0
60000.0,Foreign Used,Automatic,Van/Minivan,Petrol,2006,124113.0,Front-Wheel Drive,215.0,3.3,Toyota,Sienna,Tonaton,215.0
160000.0,Foreign Used,Automatic,Pickup,Petrol,2018,66400.0,Four-Wheel Drive,261.0,4.0,Nissan,Frontier,Tonaton,261.0
149000.0,Foreign Used,Automatic,Coupe,Petrol,2016,,Front-Wheel Drive,174.0,1.5,Honda,Civic,Tonaton,174.0
230000.0,Foreign Used,Automatic,,Petrol,2015,56000.0,,,3.5,Mercedes-Benz,GLK-Class,Tonaton,302.0
180000.0,Foreign Used,Automatic,SUV,Petrol,2017,67780.0,Four-Wheel Drive,166.0,2.4,Mitsubishi,Outlander,Tonaton,166.0
1400000.0,Foreign Used,Automatic,SUV,Petrol,2020,18859.0,All-Wheel Drive,370.0,5.7,Lexus,LX,Tonaton,370.0
155000.0,Foreign Used,Automatic,Sedan,Petrol,2014,,Front-Wheel Drive,185.0,3.5,Honda,Accord,Tonaton,185.0
165000.0,Foreign Used,Automatic,,Petrol,2017,84999.0,,,2.4,Hyundai,Santa Fe,Tonaton,192.5
120000.0,Foreign Used,Automatic,,Petrol,2014,,,,,Mercedes-Benz,C250,Tonaton,
1700000.0,Foreign Used,Automatic,,Petrol,2021,31500.0,,,,Cadillac,Escalade,Tonaton,
38500.0,Ghanaian Used,Automatic,Hatchback,Petrol,2009,95000.0,All-Wheel Drive,87.0,1.3,Toyota,Vitz,Tonaton,87.0
780000.0,Foreign Used,Automatic,Pickup,Petrol,2019,35223.0,Four-Wheel Drive,450.0,3.5,Ford,F-150,Tonaton,450.0
145000.0,Foreign Used,Automatic,,Petrol,2012,,,,,Hyundai,Porter II,Tonaton,
450000.0,Ghanaian Used,Automatic,SUV,Diesel,2013,62700.0,Four-Wheel Drive,217.0,4.5,Toyota,Land Cruiser,Tonaton,217.0
400000.0,Foreign Used,Automatic,SUV,Petrol,2013,67450.0,All-Wheel Drive,420.0,4.8,Porsche,Cayenne,Tonaton,420.0
350000.0,Foreign Used,Automatic,Pickup,Petrol,2017,10240.0,Rear-Wheel Drive,381.0,5.7,Toyota,Tundra,Tonaton,381.0
410000.0,Foreign Used,Automatic,,Petrol,2021,12845.0,,,2.0,Acura,RDX,Tonaton,272.0
245000.0,Foreign Used,Automatic,,Petrol,2021,8400.0,,,1.5,Honda,CR-V,Tonaton,190.0
170000.0,Ghanaian Used,Automatic,,Petrol,2017,,,,,Infiniti,QX60,Tonaton,
87000.0,Foreign Used,Automatic,Sedan,Petrol,2012,42000.0,Front-Wheel Drive,150.0,1.8,Hyundai,Elantra,Tonaton,150.0
405540.0,Foreign Used,Automatic,SUV,Petrol,2021,,All-Wheel Drive,247.0,3.8,Mitsubishi,Pajero,Tonaton,247.0
138000.0,Foreign Used,Automatic,,Petrol,2011,72133.0,,,3.5,Mercedes-Benz,GLK-Class,Tonaton,302.0
77800.0,Ghanaian Used,Automatic,SUV,Petrol,2012,,All-Wheel Drive,,2.0,Kia,Sportage,Tonaton,182.0
238000.0,Foreign Used,Automatic,SUV,Petrol,2020,,All-Wheel Drive,187.0,2.5,Mazda,CX-5,Tonaton,187.0
80000.0,Ghanaian Used,Automatic,,Petrol,2014,30000.0,,,2.0,Mercedes-Benz,C300,Tonaton,241.0
1125000.0,Foreign Used,Automatic,,Petrol,2019,12323.0,,,,BMW,X4,Tonaton,
465000.0,Foreign Used,Automatic,,Petrol,2020,43926.0,,,,Lexus,RX 350,Tonaton,
80000.0,Foreign Used,Automatic,Hatchback,Petrol,2018,,Front-Wheel Drive,78.0,1.2,Mitsubishi,Mirage,Tonaton,78.0
58500.0,Foreign Used,Automatic,,Petrol,2008,257173.0,,,1.8,Pontiac,Vibe,Tonaton,132.0
85000.0,Foreign Used,Automatic,,Petrol,2014,24444.0,Front-Wheel Drive,138.0,1.8,Chevrolet,Sonic,Tonaton,138.0
1050000.0,Foreign Used,Automatic,Pickup,Petrol,2022,19270.0,All-Wheel Drive,395.0,5.7,Dodge,RAM,Tonaton,395.0
75000.0,Ghanaian Used,Automatic,,Petrol,2015,105112.0,Front-Wheel Drive,185.0,2.4,Honda,Accord,Tonaton,185.0
75200.0,Foreign Used,Automatic,SUV,Petrol,2016,49320.0,All-Wheel Drive,188.0,1.6,Nissan,Juke,Tonaton,188.0
100000.0,Foreign Used,Manual,,Petrol,2019,112000.0,,,,Renault,Kangoo,Tonaton,
96500.0,Foreign Used,Automatic,Hatchback,Petrol,2017,46011.0,Front-Wheel Drive,132.0,1.6,Hyundai,Veloster,Tonaton,132.0
110000.0,Foreign Used,Automatic,,Petrol,2013,65882.0,,,2.0,BMW,X1,Tonaton,228.0
54000.0,Ghanaian Used,Automatic,,Petrol,2017,75522.0,,,1.1,Kia,Picanto,Tonaton,65.0
595500.0,Foreign Used,Automatic,,Petrol,2021,15458.0,,,3.6,Jeep,Gladiator,Tonaton,285.0
450000.0,Foreign Used,Automatic,SUV,Petrol,2020,22000.0,All-Wheel Drive,272.0,2.0,Acura,RDX,Tonaton,272.0
